,Raw,Posted_date,Country_name,certificate,Website,Total
243,"
                    1페이지 결과 2건",7/5/21,Korea,Auto Service,Indeed,1
244,"
                    1페이지 결과 61건",7/5/21,Korea,Communication,Indeed,1
245,"
                    1페이지 결과 3건",7/5/21,Korea,Computer Support,Indeed,1
246,"
                    1페이지 결과 12건",7/5/21,Korea,Database,Indeed,1
247,0,7/5/21,Korea,Tourism Management,Indeed,0
248,0,7/5/21,Korea,Marriage Family,Indeed,0
249,"
                    1페이지 결과 6건",7/5/21,Korea,Project Management,Indeed,1
250,0,7/5/21,Korea,TEFL,Indeed,0
251,"
                    1페이지 결과 1건",7/5/21,Korea,Web Development,Indeed,1
252,0,7/5/21,Korea,Business Administration,Indeed,0
253,0,7/5/21,Korea,Healthcare Administration,Indeed,0
254,"
                    1페이지 결과 3건",7/5/21,Korea,Administrative Assistant,Indeed,1
255,0,7/5/21,Korea,Agribusiness Management,Indeed,0
256,0,7/5/21,Korea,Commercial Fundamentals,Indeed,0
257,0,7/5/21,Korea,Community Health,Indeed,0
258,"
                    1페이지 결과 1건",7/5/21,Korea,Construction Field,Indeed,1
259,0,7/5/21,Korea,Entrepreneurship,Indeed,0
260,0,7/5/21,Korea,Family History Research,Indeed,0
261,0,7/5/21,Korea,Fundamentals of Medical Coding,Indeed,0
262,0,7/5/21,Korea,Social Media Marketing,Indeed,0
263,0,7/5/21,Korea,Computer Programming,Indeed,0
264,0,7/5/21,Sweden,Hospital Administration,Indeed,0
265,0,7/5/21,Sweden,Public Health,Indeed,0
266,"
                    Sida 1 av 63 resultat",7/5/21,Sweden,Accounting,Indeed,63 
267,0,7/5/21,Sweden,Auto Service,Indeed,0
268,"
                    Sida 1 av 224 resultat",7/5/21,Sweden,Communication,Indeed,224 
269,0,7/5/21,Sweden,Computer Support,Indeed,0
270,"
                    Sida 1 av 4 resultat",7/5/21,Sweden,Database,Indeed,4 
271,0,7/5/21,Sweden,Tourism Management,Indeed,0
272,0,7/5/21,Sweden,Marriage Family,Indeed,0
273,0,7/5/21,Sweden,Project Management,Indeed,0
274,0,7/5/21,Sweden,TEFL,Indeed,0
275,0,7/5/21,Sweden,Web Development,Indeed,0
276,0,7/5/21,Sweden,Business Administration,Indeed,0
277,0,7/5/21,Sweden,Healthcare Administration,Indeed,0
278,"
                    Sida 1 av 1 resultat",7/5/21,Sweden,Administrative Assistant,Indeed,1
279,0,7/5/21,Sweden,Agribusiness Management,Indeed,0
280,0,7/5/21,Sweden,Commercial Fundamentals,Indeed,0
281,"
                    Sida 1 av 1 resultat",7/5/21,Sweden,Community Health,Indeed,1
282,0,7/5/21,Sweden,Construction Field,Indeed,0
283,"
                    Sida 1 av 1 resultat",7/5/21,Sweden,Entrepreneurship,Indeed,1
284,0,7/5/21,Sweden,Family History Research,Indeed,0
285,0,7/5/21,Sweden,Fundamentals of Medical Coding,Indeed,0
286,"
                    Sida 1 av 3 resultat",7/5/21,Sweden,Social Media Marketing,Indeed,3 
287,0,7/5/21,Sweden,Computer Programming,Indeed,0
288,0,7/5/21,Vietname,Hospital Administration,Indeed,0
289,0,7/5/21,Vietname,Public Health,Indeed,0
290,0,7/5/21,Vietname,Accounting,Indeed,0
